County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Ector County, TX,5,163,956,1090,3571,516,26,149378
Olmsted County, MN,3,55,120,644,2344,119,19,149226
Alexandria city, VA,0,139,97,284,2424,326,8,148892
Fairfield County, OH,4,108,79,951,3178,142,57,148867
Washington County, UT,3,30,172,516,2162,134,9,147800
Houston County, GA,8,166,285,1142,4198,211,18,147658
Mesa County, CO,5,44,311,573,3456,262,35,147554
Santa Fe County, NM,6,136,358,2735,2421,252,31,147423
Rock Island County, IL,4,80,426,721,3039,119,26,147258
Paulding County, GA,1,32,170,687,2012,271,9,146950
Schuylkill County, PA,4,34,224,446,1760,93,28,146920
Merrimack County, NH,0,33,119,431,2266,75,26,146849
Rankin County, MS,3,14,83,538,1407,79,11,146767
Sussex County, NJ,5,22,48,416,1356,35,3,145992
Johnson County, IN,1,45,287,502,3068,98,7,145535
Dorchester County, SC,8,129,429,973,3223,414,13,145397
Kootenai County, ID,1,23,343,1173,3096,274,37,144265
Guadalupe County, TX,2,31,177,601,2271,127,10,143183
Randolph County, NC,9,52,145,1210,3391,163,24,142577
Indian River County, FL,1,64,356,851,2830,102,1,141994
Monroe County, IN,4,54,262,941,3648,251,28,141888
Cambria County, PA,6,47,235,649,1803,94,9,140499
Jackson County, MS,5,103,235,1406,3153,323,19,140450
Orange County, NC,5,60,132,1056,2343,140,11,140352
Napa County, CA,2,71,382,658,1895,310,11,140326
Citrus County, FL,5,57,363,737,1971,129,16,139271
Johnson County, IA,2,48,245,580,2232,92,12,139155
Florence County, SC,6,133,448,1466,4214,361,10,138326
Rowan County, NC,3,129,276,1306,2784,208,20,138323
Scott County, MN,0,16,97,302,2144,66,12,137232
Stafford County, VA,1,41,130,227,1934,105,19,136788
Hampton city, VA,12,157,159,771,3754,262,28,136699
Sandoval County, NM,4,30,293,595,1648,201,17,136575
Coconino County, AZ,4,56,350,555,3598,117,52,136539
Douglas County, GA,1,77,276,815,3103,229,9,136379
Tazewell County, IL,3,36,247,653,1860,51,22,136352
Clark County, OH,5,182,174,1753,3708,213,93,136167
Lebanon County, PA,3,64,200,381,2077,79,12,135486
Marathon County, WI,2,24,111,485,1678,71,34,135416
Columbia County, GA,1,22,42,451,2035,110,11,135416
Calhoun County, MI,11,112,606,1405,2782,170,41,135012
Fayette County, PA,3,99,165,830,2206,153,63,134999
Robeson County, NC,13,273,775,2937,4637,385,69,134841
Humboldt County, CA,2,130,218,1130,3212,508,48,134493
